Feature,KS_Statistic,KS_pvalue,Cohens_d,JS_Divergence,Quantile_Correlation,Similarity_Score
ST_Elev_V6,0.3410708435545075,0.0,0.1799151338202917,0.04330957412979526,0.9552107568989802,86.24903564187848
ST_Elev_V5_iqr,0.6962508426807614,0.0,-0.3827146023837404,0.004779475162955868,0.9783571163927618,85.28795454457796
ST_Elev_II,0.3650808004863516,0.0,0.3400779755281424,0.03727684923577218,0.9851000943682482,85.07362518725472
Q_Amp_V4,0.35901209648509164,0.0,0.14028783103916848,0.03281864912704593,0.983994927534922,84.51795547170401
ST_Elev_II_iqr,0.7827431848539013,0.0,-0.7360799167500127,0.004827284804756016,0.9862672462237816,83.57933228631131
ST_Elev_V6_iqr,0.7811150056252266,0.0,-0.5543136442338892,0.005071409746460946,0.9693343103604652,83.54276471475582
ST_Elev_V1_iqr,0.779479712086758,0.0,-0.663513634150313,0.007837235687259997,0.992581842725746,83.15412092970604
R_Amp_V6,0.26969536646389036,0.0,-0.3865926422906156,0.03435085167457305,0.9812262618229868,82.86549584505866
Q_Amp_I,0.29260402857020973,0.0,0.251121971106052,0.032428283277362975,0.9931820327848111,82.7997252848169
ST_Elev_III_count,0.23483542049977518,0.0,0.885637024682538,0.07929141066274156,0.8688360359870176,82.63925863436809
ST_Elev_II_count,0.23483542049977518,0.0,0.885637024682538,0.07929141066274156,0.8688360359870176,82.63925863436809
ST_Elev_V2_count,0.23483542049977518,0.0,0.885637024682538,0.07929141066274156,0.8688360359870176,82.63925863436809
ST_Elev_V3_count,0.23483542049977518,0.0,0.885637024682538,0.07929141066274156,0.8688360359870176,82.63925863436809
ST_Elev_V5_count,0.23483542049977518,0.0,0.885637024682538,0.07929141066274156,0.8688360359870176,82.63925863436809
ST_Elev_V6_count,0.23483542049977518,0.0,0.885637024682538,0.07929141066274156,0.8688360359870176,82.63925863436809
ST_Elev_V1_count,0.23483542049977518,0.0,0.885637024682538,0.07929141066274156,0.8688360359870176,82.63925863436809
ST_Elev_I_count,0.23483542049977518,0.0,0.885637024682538,0.07929141066274156,0.8688360359870176,82.63925863436809
ST_Elev_aVR_count,0.23483542049977518,0.0,0.885637024682538,0.07929141066274156,0.8688360359870176,82.63925863436809
ST_Elev_aVL_count,0.23483542049977518,0.0,0.885637024682538,0.07929141066274156,0.8688360359870176,82.63925863436809
ST_Elev_aVF_count,0.23483542049977518,0.0,0.885637024682538,0.07929141066274156,0.8688360359870176,82.63925863436809
ST_Elev_V4_count,0.23483542049977518,0.0,0.885637024682538,0.07929141066274156,0.8688360359870176,82.63925863436809
ST_Elev_aVR_iqr,0.8422643317127246,0.0,-0.6870185896215202,0.004129172172827598,0.9938099148477557,82.51219758367324
ST_Elev_aVF_iqr,0.858952043113746,0.0,-0.8641633542604013,0.006224813113064456,0.9788858096195456,81.84419019724419
ST_Elev_aVL_iqr,0.8717276241526205,0.0,-0.8458493418091299,0.005681641650341894,0.983089243170473,81.671405254497
ST_Elev_III_iqr,0.860676087646911,0.0,-0.9768795009918448,0.007257686270994039,0.9698664201695664,81.63067949550367
ST_Elev_I_iqr,0.8504209687695045,0.0,-1.2298086463740476,0.012810820501979686,0.9891302202797478,80.99675096054376
ST_Elev_III,0.43565301377400406,0.0,0.38394065262233473,0.06095907285245662,0.918678829088055,80.72651307676949
ST_Elev_aVL,0.34851251232999136,0.0,-0.056426255842348554,0.05744700508373419,0.9567748934228971,79.47612351440442
ST_Elev_I,0.3191858958090158,0.0,0.09535990503960685,0.09171664735249951,0.9689713096509123,78.98455843917067
ST_Elev_aVR,0.3610059497076471,0.0,-0.540696620459693,0.09906822045014405,0.9796234829515393,77.6076902309637
ST_Elev_V1,0.5803668348332064,0.0,-0.5804351096894663,0.07403719962965544,0.9352378342006241,77.09468400087212
RR_Mean_Global_count,0.3301177251908316,0.0,0.7131458182935173,0.07928958979613879,0.9860076436294869,77.02056751655604
ST_Elev_aVF,0.3718197123200909,0.0,0.24595785155603356,0.11677150407519285,0.9165619680884137,74.34410050272318
